转债代码,低点日期,反弹日期,时长,击穿次数,最大收益
113545.SH,2021-03-29 09:45:00,2021-03-29 09:45:00,0 days 00:00:00,2,6.95518622127147
113545.SH,2021-03-29 10:00:00,2021-03-29 10:00:00,0 days 00:00:00,2,4.17166539426328
113545.SH,2021-03-30 10:15:00,2021-03-30 10:30:00,0 days 00:15:00,2,2.958217270194985
113545.SH,2021-04-02 13:15:00,2021-04-02 13:30:00,0 days 00:15:00,2,1.3442150744119141
113545.SH,2021-04-13 10:00:00,2021-04-13 11:00:00,0 days 01:00:00,3,3.4599202834366682
113545.SH,2021-04-15 10:15:00,2021-04-15 11:30:00,0 days 01:15:00,9,10.538413317545437
113545.SH,2021-04-15 13:45:00,2021-04-15 14:00:00,0 days 00:15:00,2,1.7624925737672381
113545.SH,2021-04-16 09:45:00,2021-04-16 10:00:00,0 days 00:15:00,3,6.929443119652112
113545.SH,2021-04-16 11:00:00,2021-04-16 11:00:00,0 days 00:00:00,6,12.619376934729631
113545.SH,2021-04-16 11:15:00,2021-04-16 11:15:00,0 days 00:00:00,4,5.541163833954621
113545.SH,2021-04-19 09:45:00,2021-04-19 10:00:00,0 days 00:15:00,5,6.437313926563015
113545.SH,2021-04-19 10:30:00,2021-04-19 10:30:00,0 days 00:00:00,2,2.2538699690402453
113545.SH,2021-04-19 13:45:00,2021-04-19 13:45:00,0 days 00:00:00,3,10.100286532951275
113545.SH,2021-04-21 10:00:00,2021-04-22 09:45:00,0 days 23:45:00,6,4.896030245746696
113545.SH,2021-04-23 11:15:00,2021-04-23 14:45:00,0 days 03:30:00,2,1.0090508806262166
113545.SH,2021-04-26 10:00:00,2021-04-26 10:00:00,0 days 00:00:00,2,2.155966027201983
113545.SH,2021-05-11 09:45:00,2021-05-11 10:15:00,0 days 00:30:00,2,2.1309399262155138
113545.SH,2021-05-12 10:30:00,2021-05-12 11:00:00,0 days 00:30:00,2,2.5183512140033892
113545.SH,2021-05-13 10:15:00,2021-05-13 10:45:00,0 days 00:30:00,2,1.9964871194379397
113545.SH,2021-05-20 10:15:00,2021-05-20 10:45:00,0 days 00:30:00,3,3.0515733745761775
